"Protein","Missing_Rate_Percent"
"ANGEL1",57.0469798657718
"ANGPT1",96.6442953020134
"ANGPT2",59.0604026845638
"ANGPTL1",56.3758389261745
"ANGPTL3",83.8926174496644
"ANGPTL6",92.6174496644295
"ANKEF1",88.5906040268456
"ANKH",77.1812080536913
"ANKHD1",61.744966442953
"ANKRD13C",85.2348993288591
"ANKRD2",83.8926174496644
"ANKRD29",93.9597315436242
"ANKRD36",96.6442953020134
"ANKRD39",84.5637583892617
"ANKRD40",63.0872483221477
"ANKRD46",63.0872483221477
"ANKS3",62.4161073825503
"ANO8",75.1677852348993
"ANO9",55.0335570469799
"ANTKMT",94.6308724832215
"ANXA5",96.6442953020134
"AP1AR",69.1275167785235
"AP3S2",88.5906040268456
"APCDD1",96.6442953020134
"APEX2",97.9865771812081
"APLP1",71.1409395973154
"APOA5",65.1006711409396
"APOBEC3A",77.8523489932886
"APOBEC3B",89.261744966443
"APOL4",96.6442953020134
"APOL6",72.4832214765101
"APPBP2",68.4563758389262
"AREG",90.6040268456376
"AREL1",96.6442953020134
"ARG2",87.9194630872483
"ARHGAP23",54.3624161073826
"ARHGAP28",84.5637583892617
"ARHGAP39",53.0201342281879
"ARHGEF15",62.4161073825503
"ARHGEF26",69.1275167785235
"ARHGEF3",50.3355704697987
"ARHGEF38",87.248322147651
"ARID3B",86.5771812080537
"ARL11",86.5771812080537
"ARL13B",85.2348993288591
"ARL5A",69.7986577181208
"ARMC7",91.2751677852349
"ARMCX4",55.0335570469799
"ARMCX5",70.4697986577181
"ARNTL",62.4161073825503
"ARSJ",77.8523489932886
"ARSK",84.5637583892617
"ARV1",56.3758389261745
"ARX",69.7986577181208
"ASAH2",79.8657718120805
"ASB13",95.9731543624161
"ASB3",85.9060402684564
"ASB6",60.4026845637584
"ASB7",89.261744966443
"ASB8",95.9731543624161
"ASDURF",58.3892617449664
"ASF1B",75.1677852348993
"ASGR2",82.5503355704698
"ASH1L",56.3758389261745
"ASPHD1",87.9194630872483
"ASPHD2",92.6174496644295
"ASPM",93.9597315436242
"ASTE1",54.3624161073826
"ASXL1",86.5771812080537
"ATAD5",72.4832214765101
"ATF3",81.8791946308725
"ATF6",54.3624161073826
"ATF6B",93.2885906040269
"ATG10",93.2885906040269
"ATP10B",85.9060402684564
"ATP13A4",89.9328859060403
"ATP1B2",93.9597315436242
"ATP2B3",91.9463087248322
"ATP4A",82.5503355704698
"ATP5MF",55.7046979865772
"ATP6V0C",91.2751677852349
"ATP6V0D2",92.6174496644295
"ATP8B2",96.6442953020134
"ATRNL1",85.9060402684564
"ATXN7",58.3892617449664
"AURKA",73.8255033557047
"AURKAIP1",55.0335570469799
"AURKB",57.7181208053691
"AXIN1",85.2348993288591
"B3GALNT1",77.1812080536913
"B3GALNT2",71.8120805369127
"B3GNT8",81.8791946308725
"B3GNT9",76.510067114094
"B3GNTL1",60.4026845637584
"B4GALNT3",89.9328859060403
"B4GALT3",53.0201342281879
"B4GALT5",68.4563758389262
"B9D2",69.1275167785235
"BAAT",89.9328859060403
"BACE1",60.4026845637584
"BACE2",62.4161073825503
"BAHD1",76.510067114094
"BAIAP2L2",51.006711409396
"BARD1",71.8120805369127
"BBIP1",57.7181208053691
"BBOX1",86.5771812080537
"BBS1",92.6174496644295
"BCDIN3D",63.758389261745
"BCL11A",88.5906040268456
"BCL2",94.6308724832215
"BCL2L11",85.2348993288591
"BCL2L12",96.6442953020134
"BCO1",63.0872483221477
"BCORL1",50.3355704697987
"BDP1",86.5771812080537
"BEGAIN",85.9060402684564
"BEND7",82.5503355704698
"BFAR",79.1946308724832
"BHLHE40",53.0201342281879
"BHLHE41",86.5771812080537
"BHMT",93.2885906040269
"BHMT2",89.9328859060403
"BIRC3",89.261744966443
"BIRC5",84.5637583892617
"BLK",96.6442953020134
"BLM",79.1946308724832
"BMERB1",71.1409395973154
"BMP2",95.9731543624161
"BMP4",95.3020134228188
"BMPR2",73.8255033557047
"BMT2",86.5771812080537
"BMX",55.7046979865772
"BNIP3L",67.1140939597315
"BNIP5",67.1140939597315
"BPIFA1",95.9731543624161
"BRCA1",73.8255033557047
"BRCA2",59.7315436241611
"BRPF3",79.1946308724832
"BRWD3",68.4563758389262
"BSCL2",57.0469798657718
"BSN",74.496644295302
"BTBD10",91.9463087248322
"BTBD11",61.0738255033557
"BTBD3",95.3020134228188
"BTBD9",81.8791946308725
"BTN2A1",67.7852348993289
"BTN3A1",81.8791946308725
"BUB1",93.2885906040269
"BUB1B",79.8657718120805
"C10orf88",58.3892617449664
"C11orf53",95.9731543624161
"C12orf49",95.3020134228188
"C12orf65",84.5637583892617
"C12orf73",63.0872483221477
"C14orf93",85.9060402684564
"C15orf39",50.3355704697987
"C15orf41",90.6040268456376
"C16orf72",81.2080536912752
"C16orf74",97.9865771812081
"C16orf86",68.4563758389262
"C16orf89",97.9865771812081
"C17orf100",73.8255033557047
"C17orf49",61.744966442953
"C19orf38",89.9328859060403
"C19orf54",91.9463087248322
"C1QL1",91.9463087248322
"C1QTNF2",93.9597315436242
"C1QTNF7",77.8523489932886
"C1orf112",84.5637583892617
"C1orf131",62.4161073825503
"C1orf21",70.4697986577181
"C1orf210",50.3355704697987
"C1orf43",93.2885906040269
"C1orf53",75.8389261744966
"C20orf194",76.510067114094
"C22orf39",96.6442953020134
"C2CD3",55.0335570469799
"C2CD4B",85.9060402684564
"C2orf42",63.758389261745
"C2orf68",57.0469798657718
"C2orf72",76.510067114094
"C3AR1",62.4161073825503
"C3orf33",83.8926174496644
"C3orf52",72.4832214765101
"C5orf15",58.3892617449664
"C6orf136",79.8657718120805
"C6orf15",59.7315436241611
"C6orf58",76.510067114094
"C8orf76",95.9731543624161
"C9orf152",64.4295302013423
"C9orf40",60.4026845637584
"C9orf85",89.9328859060403
"CACFD1",93.2885906040269
"CACHD1",77.8523489932886
"CACNB3",89.261744966443
"CADM2",96.6442953020134
"CADM3",63.758389261745
"CALCB",91.9463087248322
"CALCRL",54.3624161073826
"CALHM2",93.9597315436242
"CALHM6",77.8523489932886
"CALML5",71.1409395973154
"CAMTA2",95.9731543624161
"CAPN13",84.5637583892617
"CAPNS2",85.2348993288591
"CAPRIN2",87.248322147651
"CARTPT",57.0469798657718
"CASD1",96.6442953020134
"CASP14",60.4026845637584
"CASP8AP2",69.1275167785235
"CASQ2",89.261744966443
"CASTOR1",93.9597315436242
"CBFA2T2",77.1812080536913
"CBFA2T3",85.9060402684564
"CBWD2",96.6442953020134
"CBX2",80.5369127516778
"CBX7",76.510067114094
"CBY1",84.5637583892617
"CC2D2A",83.2214765100671
"CCDC107",75.8389261744966
"CCDC120",92.6174496644295
"CCDC125",93.9597315436242
"CCDC130",67.7852348993289
"CCDC138",92.6174496644295
"CCDC141",51.6778523489933
"CCDC167",88.5906040268456
"CCDC170",67.7852348993289
"CCDC18",87.9194630872483
"CCDC182",90.6040268456376
"CCDC3",95.9731543624161
"CCDC57",71.8120805369127
"CCDC59",53.0201342281879
"CCDC66",79.1946308724832
"CCDC68",70.4697986577181
"CCDC69",66.4429530201342
"CCDC71",71.1409395973154
"CCDC84",93.9597315436242
"CCDC85A",65.7718120805369
"CCDC85B",57.0469798657718
"CCKAR",92.6174496644295
"CCL16",71.8120805369127
"CCL17",92.6174496644295
"CCL20",51.6778523489933
"CCL24",75.8389261744966
"CCL25",91.9463087248322
"CCL28",87.248322147651
"CCN4",61.0738255033557
"CCNA2",77.1812080536913
"CCNB1",66.4429530201342
"CCNB2",79.1946308724832
"CCNC",93.9597315436242
"CCND1",69.7986577181208
"CCND2",91.2751677852349
"CCNDBP1",69.1275167785235
"CCNE2",97.9865771812081
"CCR1",63.758389261745
"CCR10",95.9731543624161
"CCRL2",76.510067114094
"CCSER1",83.8926174496644
"CCSER2",56.3758389261745
"CD19",91.2751677852349
"CD1A",84.5637583892617
"CD200R1",96.6442953020134
"CD207",51.6778523489933
"CD22",81.2080536912752
"CD27",72.4832214765101
"CD274",60.4026845637584
"CD28",95.3020134228188
"CD300LF",79.1946308724832
"CD320",79.1946308724832
"CD37",95.9731543624161
"CD3D",61.744966442953
"CD68",96.6442953020134
"CD69",80.5369127516778
"CD7",71.8120805369127
"CD70",85.2348993288591
"CD72",76.510067114094
"CD83",96.6442953020134
"CDAN1",63.758389261745
"CDC20",65.1006711409396
"CDC25C",84.5637583892617
"CDC42SE1",60.4026845637584
"CDC45",82.5503355704698
"CDCA2",72.4832214765101
"CDCA3",92.6174496644295
"CDCA5",82.5503355704698
"CDCA7",92.6174496644295
"CDCA7L",93.9597315436242
"CDCA8",85.9060402684564
"CDH19",81.8791946308725
"CDHR5",53.6912751677852
"CDK10",71.8120805369127
"CDK19",74.496644295302
"CDK20",87.248322147651
"CDK3",93.2885906040269
"CDK8",61.744966442953
"CDKN1A",77.8523489932886
"CDKN1C",79.1946308724832
"CDKN2A",83.8926174496644
"CDKN2D",78.5234899328859
"CDON",91.2751677852349
"CDX1",95.3020134228188
"CEBPA",95.3020134228188
"CEBPD",57.0469798657718
"CEBPG",89.261744966443
"CELSR2",92.6174496644295
"CEND1",72.4832214765101
"CENPK",88.5906040268456
"CENPM",53.0201342281879
"CENPN",85.9060402684564
"CENPQ",93.2885906040269
"CENPT",85.9060402684564
"CENPU",92.6174496644295
"CEP152",63.0872483221477
"CEP70",88.5906040268456
"CEP78",54.3624161073826
"CEP83",83.8926174496644
"CEP89",67.7852348993289
"CEP95",57.7181208053691
"CERK",85.9060402684564
"CETP",75.1677852348993
"CFAP410",52.3489932885906
"CFAP61",72.4832214765101
"CFHR4",51.6778523489933
"CGRRF1",96.6442953020134
"CHAD",73.1543624161074
"CHAF1B",56.3758389261745
"CHD7",80.5369127516778
"CHEK1",52.3489932885906
"CHP2",83.8926174496644
"CHPT1",71.8120805369127
"CHRDL2",73.8255033557047
"CHRM3",83.2214765100671
"CHST15",84.5637583892617
"CHST6",88.5906040268456
"CHSY3",75.1677852348993
"CHTF8",87.248322147651
"CHURC1",57.7181208053691
"CILK1",86.5771812080537
"CITED2",79.8657718120805
"CKAP2",53.6912751677852
"CKAP2L",73.1543624161074
"CKLF",95.9731543624161
"CKS2",89.9328859060403
"CLCA2",84.5637583892617
"CLCA4",81.8791946308725
"CLCN2",95.9731543624161
"CLCN5",75.8389261744966
"CLCN6",87.248322147651
"CLDN12",84.5637583892617
"CLDN15",93.2885906040269
"CLDN23",67.7852348993289
"CLDN5",84.5637583892617
"CLEC10A",93.9597315436242
"CLEC12A",90.6040268456376
"CLEC2B",75.1677852348993
"CLEC4A",94.6308724832215
"CLEC4E",93.9597315436242
"CLEC4M",95.9731543624161
"CLEC7A",85.9060402684564
"CLGN",83.8926174496644
"CLIP4",92.6174496644295
"CLK1",65.7718120805369
"CLK2",64.4295302013423
"CLMP",93.2885906040269
"CLN8",87.248322147651
"CLOCK",61.0738255033557
"CLRN3",91.2751677852349
"CLSPN",89.261744966443
"CLSTN2",76.510067114094
"CLSTN3",59.7315436241611
"CLTCL1",81.2080536912752
"CMTM6",51.006711409396
"CMTM7",52.3489932885906
"CNEP1R1",57.7181208053691
"CNIH1",87.9194630872483
"CNKSR3",91.2751677852349
"CNNM2",79.8657718120805
"CNOT6",81.2080536912752
"CNPY1",95.9731543624161
"CNTLN",58.3892617449664
"CNTN4",86.5771812080537
"COA1",53.6912751677852
"COL21A1",71.8120805369127
"COL27A1",92.6174496644295
"COL6A5",73.8255033557047
"COL8A2",89.261744966443
"COLEC10",73.1543624161074
"COLGALT2",55.7046979865772
"COMMD7",93.9597315436242
"COPS9",94.6308724832215
"COQ10A",76.510067114094
"COQ4",69.1275167785235
"CORO6",96.6442953020134
"COX14",79.1946308724832
"COX18",77.1812080536913
"CPA4",74.496644295302
"CPEB2",69.1275167785235
"CPEB3",65.1006711409396
"CPLX1",74.496644295302
"CPNE6",88.5906040268456
"CPT1C",95.9731543624161
"CR1",61.744966442953
"CRB2",93.9597315436242
"CREB3L1",79.8657718120805
"CREB5",93.9597315436242
"CREM",63.758389261745
"CRH",57.0469798657718
"CRHBP",89.9328859060403
"CRISPLD1",82.5503355704698
"CROCC2",75.1677852348993
"CRY1",96.6442953020134
"CRY2",75.8389261744966
"CRYBA2",95.9731543624161
"CSAD",76.510067114094
"CSDC2",83.2214765100671
"CSF2RA",96.6442953020134
"CSGALNACT1",69.1275167785235
"CSMD2",95.9731543624161
"CSNK1G2",53.6912751677852
"CSPP1",81.8791946308725
"CST2",85.2348993288591
"CST4",89.261744966443
"CST7",91.9463087248322
"CTC1",81.2080536912752
"CTDNEP1",50.3355704697987
"CTDSP2",87.9194630872483
"CTF1",93.2885906040269
"CTNNA3",97.9865771812081
"CTSV",81.2080536912752
"CTSW",55.7046979865772
"CTTNBP2",89.261744966443
"CUX2",73.8255033557047
"CXCL1",57.0469798657718
"CXCL10",72.4832214765101
"CXCL13",73.1543624161074
"CXCL16",69.1275167785235
"CXCL6",51.6778523489933
"CXCL9",96.6442953020134
"CXorf21",96.6442953020134
"CYB5A",73.8255033557047
"CYP24A1",83.2214765100671
"CYP2C18",79.1946308724832
"CYP2C19",87.248322147651
"CYP2C9",84.5637583892617
"CYP2J2",65.7718120805369
"CYP2W1",81.8791946308725
"CYP3A4",69.1275167785235
"CYP4F2",87.248322147651
"CYP4V2",82.5503355704698
"CYP4X1",61.0738255033557
"CYREN",65.1006711409396
"CYS1",85.2348993288591
"CYSRT1",93.9597315436242
"DAB1",81.8791946308725
"DACH1",95.3020134228188
"DACT1",84.5637583892617
"DACT3",56.3758389261745
"DAGLA",52.3489932885906
"DALRD3",89.261744966443
"DBF4B",94.6308724832215
"DBH",60.4026845637584
"DBNDD1",96.6442953020134
"DBP",74.496644295302
"DCAF12L1",87.248322147651
"DCAF15",77.1812080536913
"DCLRE1C",81.8791946308725
"DCX",50.3355704697987
"DDX11",63.0872483221477
"DDX43",79.8657718120805
"DEAF1",73.8255033557047
"DEFB1",51.006711409396
"DEGS2",87.9194630872483
"DENND2A",85.9060402684564
"DESI2",50.3355704697987
"DGCR2",61.0738255033557
"DGCR6",95.9731543624161
"DGKD",61.0738255033557
"DGKG",96.6442953020134
"DHDDS",88.5906040268456
"DHX34",54.3624161073826
"DIAPH3",72.4832214765101
"DIPK2B",61.744966442953
"DIRAS2",95.9731543624161
"DISC1",89.9328859060403
"DISP1",89.261744966443
"DISP2",89.9328859060403
"DKK1",65.7718120805369
"DKK4",96.6442953020134
"DLG2",63.758389261745
"DLG4",93.2885906040269
"DLK1",95.9731543624161
"DMGDH",96.6442953020134
"DMKN",94.6308724832215
"DMPK",74.496644295302
"DMWD",96.6442953020134
"DNAJC14",50.3355704697987
"DNAJC15",81.8791946308725
"DNAJC24",55.7046979865772
"DNALI1",85.9060402684564
"DNLZ",58.3892617449664
"DNM3",50.3355704697987
"DNTT",93.2885906040269
"DOK4",85.9060402684564
"DOK7",93.9597315436242
"DOLPP1",69.1275167785235
"DONSON",95.3020134228188
"DOT1L",68.4563758389262
"DPEP2",81.8791946308725
"DPF3",84.5637583892617
"DPH3",50.3355704697987
"DPP10",83.2214765100671
"DPP6",77.8523489932886
"DPY19L3",68.4563758389262
"DPY19L4",88.5906040268456
"DPYSL5",73.1543624161074
"DQX1",91.2751677852349
"DRAM2",53.0201342281879
"DSCC1",52.3489932885906
"DSE",51.006711409396
"DTHD1",93.9597315436242
"DTL",77.1812080536913
"DTX4",95.9731543624161
"DUSP1",84.5637583892617
"DUSP14",71.8120805369127
"DUSP16",71.8120805369127
"DUSP27",75.8389261744966
"DUSP6",77.1812080536913
"DUSP7",79.8657718120805
"DXO",72.4832214765101
"DYRK1B",75.8389261744966
"DYRK2",91.9463087248322
"DZIP1",87.248322147651
"E2F3",75.1677852348993
"E4F1",78.5234899328859
"EBF2",95.3020134228188
"EDARADD",96.6442953020134
"EDEM1",81.8791946308725
"EDN3",91.2751677852349
"EDRF1",81.8791946308725
"EEF1AKMT2",67.7852348993289
"EEF1AKMT4",96.6442953020134
"EFNA1",70.4697986577181
"EFNA5",86.5771812080537
"EGFL7",67.1140939597315
"EGFLAM",61.744966442953
"EGR1",75.8389261744966
"EGR2",61.744966442953
"EHF",59.0604026845638
"EIF2AK1",81.8791946308725
"ELF4",65.7718120805369
"ELFN1",87.248322147651
"ELK1",77.8523489932886
"ELK3",55.0335570469799
"ELL2",82.5503355704698
"ELMOD3",95.9731543624161
"ELOVL5",67.7852348993289
"ELOVL7",73.8255033557047
"EMC6",67.7852348993289
"EMC9",61.744966442953
"EMP3",60.4026845637584
"ENC1",63.0872483221477
"ENDOV",96.6442953020134
"ENKD1",65.7718120805369
"ENPP5",62.4161073825503
"ENPP6",71.8120805369127
"ENTPD2",91.2751677852349
"ENTPD6",86.5771812080537
"EOMES",76.510067114094
"EPB41L4A",66.4429530201342
"EPHA1",79.1946308724832
"EPHB6",67.7852348993289
"EPHX4",53.0201342281879
"EPM2A",53.6912751677852
"EPYC",87.248322147651
"ERCC5",63.0872483221477
"ERCC6L",65.7718120805369
"ERCC8",53.0201342281879
"ESCO1",70.4697986577181
"ESM1",89.9328859060403
"ESRRA",57.0469798657718
"ETAA1",60.4026845637584
"ETV3",60.4026845637584
"EVA1B",53.0201342281879
"EVA1C",77.1812080536913
"EVC",63.758389261745
"EXD3",77.8523489932886
"EXOC3L4",94.6308724832215
"EXTL3",76.510067114094
"EZHIP",60.4026845637584
"F2R",68.4563758389262
"F2RL1",75.1677852348993
"F7",53.0201342281879
"F8",72.4832214765101
"FA2H",61.744966442953
"FAAH2",80.5369127516778
"FAAP100",72.4832214765101
"FABP12",69.7986577181208
"FABP7",95.9731543624161
"FADS1",69.7986577181208
"FADS3",85.2348993288591
"FAHD2B",83.2214765100671
"FAM104A",71.8120805369127
"FAM110A",92.6174496644295
"FAM110B",88.5906040268456
"FAM110C",73.1543624161074
"FAM111B",73.1543624161074
"FAM117A",63.758389261745
"FAM122B",57.0469798657718
"FAM135A",65.1006711409396
"FAM161A",86.5771812080537
"FAM180B",75.1677852348993
"FAM199X",94.6308724832215
"FAM204A",86.5771812080537
"FAM20A",58.3892617449664
"FAM20C",51.6778523489933
"FAM219A",64.4295302013423
"FAM219B",75.1677852348993
"FAM222B",90.6040268456376
"FAM227B",59.7315436241611
"FAM234B",96.6442953020134
"FAM43A",91.2751677852349
"FAM50B",53.6912751677852
"FAM53B",60.4026845637584
"FAM83D",95.3020134228188
"FAM83F",73.1543624161074
"FAM89A",78.5234899328859
"FAN1",73.1543624161074
"FANCA",96.6442953020134
"FANCB",95.3020134228188
"FANCD2",72.4832214765101
"FANCL",95.9731543624161
"FAT2",60.4026845637584
"FBRS",57.7181208053691
"FBRSL1",80.5369127516778
"FBXL12",55.7046979865772
"FBXL14",94.6308724832215
"FBXL19",73.8255033557047
"FBXL2",91.9463087248322
"FBXL3",73.1543624161074
"FBXL4",75.8389261744966
"FBXL7",96.6442953020134
"FBXO17",81.8791946308725
"FBXO28",79.1946308724832
"FBXO32",92.6174496644295
"FBXO42",77.8523489932886
"FBXO44",52.3489932885906
"FBXO9",62.4161073825503
"FBXW4",51.006711409396
"FBXW7",85.9060402684564
"FCAR",53.6912751677852
"FCER1A",95.9731543624161
"FCER2",88.5906040268456
"FCGR2A",57.0469798657718
"FCGR3B",56.3758389261745
"FCMR",93.9597315436242
"FCRL5",69.7986577181208
"FCRLA",95.9731543624161
"FDXACB1",96.6442953020134
"FEM1B",55.0335570469799
"FEM1C",92.6174496644295
"FGD1",71.1409395973154
"FGFRL1",82.5503355704698
"FHDC1",95.9731543624161
"FHOD3",83.8926174496644
"FICD",69.7986577181208
"FIGNL1",80.5369127516778
"FKBP1C",94.6308724832215
"FLG",68.4563758389262
"FLVCR1",87.9194630872483
"FLVCR2",95.9731543624161
"FLYWCH1",80.5369127516778
"FMO4",92.6174496644295
"FNIP1",67.1140939597315
"FOLR3",79.1946308724832
"FOPNL",75.1677852348993
"FOSB",92.6174496644295
"FOSL1",84.5637583892617
"FOXA1",65.1006711409396
"FOXC1",68.4563758389262
"FOXF2",77.8523489932886
"FOXN3",84.5637583892617
"FOXO4",83.2214765100671
"FOXP1",85.2348993288591
"FOXP2",95.9731543624161
"FOXP3",96.6442953020134
"FOXRED2",94.6308724832215
"FPR1",61.0738255033557
"FPR2",95.9731543624161
"FRMD3",94.6308724832215
"FRMD4A",50.3355704697987
"FRMD4B",81.8791946308725
"FRMD5",76.510067114094
"FRMPD3",57.0469798657718
"FRS2",87.248322147651
"FSBP",85.9060402684564
"FSD1",75.1677852348993
"FSHR",85.2348993288591
"FSTL3",68.4563758389262
"FTCD",69.7986577181208
"FUOM",67.7852348993289
"FUT1",83.2214765100671
"FUT2",63.0872483221477
"FUT4",65.7718120805369
"FUT6",61.744966442953
"FXYD1",86.5771812080537
"FZD2",80.5369127516778
"FZD4",89.9328859060403
"FZD5",89.261744966443
"FZD7",69.7986577181208
"GAB3",81.2080536912752
"GABPB2",67.7852348993289
"GALNT14",86.5771812080537
"GALNT16",57.7181208053691
"GALNT9",56.3758389261745
"GAPDHS",73.8255033557047
"GAREM1",57.7181208053691
"GAS1",79.1946308724832
"GAST",69.7986577181208
"GATA4",78.5234899328859
"GATC",96.6442953020134
"GBA3",72.4832214765101
"GBP6",79.8657718120805
"GBP7",77.1812080536913
"GCSAM",94.6308724832215
"GEN1",77.1812080536913
"GET1",57.7181208053691
"GFOD1",67.1140939597315
"GFRA2",91.9463087248322
"GFRA3",69.1275167785235
"GGT6",79.1946308724832
"GIMAP1.GIMAP5",96.6442953020134
"GINS2",79.8657718120805
"GINS4",70.4697986577181
"GJA1",54.3624161073826
"GJB3",57.7181208053691
"GK5",77.1812080536913
"GKAP1",72.4832214765101
"GKN2",79.8657718120805
"GLB1L",63.0872483221477
"GLB1L2",76.510067114094
"GLCCI1",63.0872483221477
"GLDC",78.5234899328859
"GLI1",65.7718120805369
"GLI2",81.2080536912752
"GLI3",89.9328859060403
"GLIS3",95.9731543624161
"GLOD5",71.1409395973154
"GLRX2",75.8389261744966
"GLYCTK",66.4429530201342
"GMCL1",93.9597315436242
"GMNN",69.7986577181208
"GNA14",86.5771812080537
"GNAZ",81.2080536912752
"GNB3",84.5637583892617
"GNG10",58.3892617449664
"GNG4",60.4026845637584
"GNLY",65.7718120805369
"GP1BB",86.5771812080537
"GP5",59.0604026845638
"GP9",95.9731543624161
"GPANK1",95.3020134228188
"GPAT3",50.3355704697987
"GPATCH2L",77.1812080536913
"GPC3",73.1543624161074
"GPHA2",95.3020134228188
"GPM6B",71.1409395973154
"GPN2",56.3758389261745
"GPR137B",96.6442953020134
"GPR157",95.9731543624161
"GPRC5B",95.3020134228188
"GRB14",72.4832214765101
"GREB1",87.9194630872483
"GREM2",93.2885906040269
"GRHL1",63.758389261745
"GRHL3",87.248322147651
"GRIP1",60.4026845637584
"GRK3",59.7315436241611
"GRPEL2",75.1677852348993
"GRTP1",79.8657718120805
"GSAP",58.3892617449664
"GSTA3",86.5771812080537
"GSTM1",69.1275167785235
"GTF2IRD1",88.5906040268456
"GTF2IRD2",96.6442953020134
"GTSE1",73.8255033557047
"GTSF1",73.1543624161074
"GUCA2A",81.8791946308725
"GUCD1",87.248322147651
"GUCY2C",69.7986577181208
"GXYLT2",71.8120805369127
"GZF1",83.2214765100671
"GZMB",75.1677852348993
"H3Y2",70.4697986577181
"HAMP",83.2214765100671
"HAND2",96.6442953020134
"HAPLN4",93.9597315436242
"HAVCR1",79.8657718120805
"HAVCR2",61.0738255033557
"HBB",85.2348993288591
"HBG2",58.3892617449664
"HBM",73.8255033557047
"HDAC11",72.4832214765101
"HDAC9",62.4161073825503
"HECW1",86.5771812080537
"HECW2",65.7718120805369
"HELB",87.9194630872483
"HEMK1",53.6912751677852
"HENMT1",91.9463087248322
"HEXIM2",77.8523489932886
"HHEX",76.510067114094
"HHIP",93.2885906040269
"HHIPL1",73.8255033557047
"HHLA2",61.744966442953
"HIPK1",63.758389261745
"HIPK2",73.8255033557047
"HIVEP1",79.8657718120805
"HJURP",84.5637583892617
"HLA.DOA",79.1946308724832
"HLA.G",93.2885906040269
"HMCN2",56.3758389261745
"HMGCR",69.1275167785235
"HMGXB3",74.496644295302
"HMMR",61.0738255033557
"HNF1A",86.5771812080537
"HNF4G",67.1140939597315
"HNRNPA1L2",86.5771812080537
"HOMEZ",59.0604026845638
"HOXA4",94.6308724832215
"HOXA5",52.3489932885906
"HOXC4",83.2214765100671
"HOXD9",60.4026845637584
"HPD",86.5771812080537
"HPDL",92.6174496644295
"HPN",96.6442953020134
"HPS1",63.758389261745
"HRC",52.3489932885906
"HRNR",92.6174496644295
"HROB",72.4832214765101
"HS3ST1",53.0201342281879
"HS6ST1",59.0604026845638
"HSD17B14",69.1275167785235
"HSD17B6",94.6308724832215
"HSD3B1",83.2214765100671
"HSPA6",67.7852348993289
"HTD2",68.4563758389262
"HYAL1",56.3758389261745
"HYAL2",57.0469798657718
"HYKK",87.9194630872483
"ICAM5",71.1409395973154
